"","YR","MO","DY","HR","LAT","LON","IT","AT","SI","SST"
"105",2006,1,2,1800,260,62,0,260,NA,NA
"106",2006,1,15,1200,260,60,0,260,NA,NA
"107",2006,1,27,600,-1880,60,0,294,3,284
"108",2006,3,12,1200,-1470,54,0,300,3,296
"109",2006,3,12,1200,-1470,54,0,300,3,296
"110",2006,3,13,1200,-720,56,0,278,3,300
"111",2006,3,13,1200,-720,56,0,278,3,300
"112",2006,3,15,0,-170,61,0,270,3,290
"113",2006,3,19,2100,280,66,0,282,3,290
"114",2006,3,19,2100,280,66,0,282,3,290
"115",2006,3,20,0,220,66,0,282,3,289
"116",2006,3,20,0,220,66,0,282,3,289
"117",2006,3,20,300,160,66,0,281,3,287
"118",2006,3,20,300,160,66,0,281,3,287
"119",2006,3,20,600,100,66,0,283,3,289
"120",2006,3,20,600,100,66,0,283,3,289
"121",2006,3,20,900,40,66,0,281,3,288
"122",2006,3,20,900,40,66,0,281,3,288
"123",2006,3,20,1200,0,66,0,284,3,288
"124",2006,3,20,1200,0,66,0,284,3,288
"125",2006,3,20,1500,-60,66,0,287,3,289
"126",2006,3,20,1500,-60,66,0,287,3,289
"127",2006,3,20,1800,-120,66,0,285,3,290
"128",2006,3,20,1800,-120,66,0,285,3,290
"129",2006,3,20,2100,-180,66,0,283,3,290
"130",2006,3,20,2100,-180,66,0,283,3,290
"131",2006,3,21,0,-240,66,0,281,3,289
"132",2006,3,21,0,-240,66,0,281,3,289
"133",2006,3,21,300,-300,66,0,282,3,291
"134",2006,3,21,300,-300,66,0,282,3,291
"135",2006,3,21,600,-360,66,0,282,3,291
"136",2006,3,21,600,-360,66,0,282,3,291
"137",2006,3,21,900,-400,66,0,284,3,291
"138",2006,3,21,900,-400,66,0,284,3,291
"139",2006,3,21,1200,-450,66,0,288,3,288
"140",2006,3,21,1200,-450,66,0,288,3,288
"141",2006,3,21,1500,-490,66,0,289,3,296
"142",2006,3,21,1500,-490,66,0,289,3,296
"143",2006,3,21,1800,-540,66,0,289,3,294
"144",2006,3,21,1800,-540,66,0,289,3,294
"145",2006,3,21,2100,-590,66,0,286,3,292
"146",2006,3,21,2100,-590,66,0,286,3,292
"147",2006,3,22,0,-630,66,0,284,3,288
"148",2006,3,22,0,-630,66,0,284,3,288
"149",2006,3,22,300,-680,67,0,273,3,287
"150",2006,3,22,300,-680,67,0,273,3,287
"151",2006,3,22,600,-720,67,0,284,3,287
"152",2006,3,22,600,-720,67,0,284,3,287
"153",2006,3,22,900,-760,67,0,283,3,288
"154",2006,3,22,900,-760,67,0,283,3,288
"155",2006,3,22,1200,-800,67,0,286,3,289
"156",2006,3,22,1200,-800,67,0,286,3,289
"157",2006,3,22,1500,-840,67,0,286,3,287
"158",2006,3,22,1500,-840,67,0,286,3,287
"159",2006,3,22,1800,-880,67,0,276,3,286
"160",2006,3,22,1800,-880,67,0,276,3,286
"161",2006,3,22,2100,-920,67,0,257,3,288
"162",2006,3,22,2100,-920,67,0,257,3,288
"163",2006,3,23,0,-950,67,0,270,3,288
"164",2006,3,23,0,-950,67,0,270,3,288
"165",2006,3,23,300,-990,67,0,269,3,286
"166",2006,3,23,300,-990,67,0,269,3,286
"167",2006,3,23,600,-1030,67,0,263,3,275
"168",2006,3,23,600,-1030,67,0,263,3,275
"169",2006,3,23,900,-1080,67,0,270,3,280
"170",2006,3,23,900,-1080,67,0,270,3,280
"171",2006,3,23,1200,-1130,67,0,273,3,282
"172",2006,3,23,1200,-1130,67,0,273,3,282
"173",2006,3,23,1200,-1960,49,0,291,3,299
"174",2006,3,23,1200,-1960,49,0,291,3,299
"175",2006,3,23,1800,-1240,67,0,276,3,283
"176",2006,3,23,1800,-1240,67,0,276,3,283
"177",2006,3,23,1800,-1870,49,0,272,3,301
"178",2006,3,23,1800,-1870,49,0,272,3,301
"179",2006,3,23,2100,-1290,67,0,273,3,283
"180",2006,3,23,2100,-1290,67,0,273,3,283
"181",2006,3,24,0,-1340,67,0,272,3,280
"182",2006,3,24,0,-1340,67,0,272,3,280
"183",2006,3,24,0,-1780,50,0,282,3,300
"184",2006,3,24,0,-1780,50,0,282,3,300
"185",2006,3,24,300,-1390,67,0,274,3,278
"186",2006,3,24,300,-1390,67,0,274,3,278
"187",2006,3,24,600,-1390,67,0,273,3,278
"188",2006,3,24,600,-1390,67,0,273,3,278
"189",2006,3,24,600,-1700,50,0,283,3,299
"190",2006,3,24,600,-1700,50,0,283,3,299
"191",2006,3,24,900,-1410,67,0,274,3,277
"192",2006,3,24,900,-1410,67,0,274,3,277
"193",2006,3,24,1200,-1420,67,0,277,3,279
"194",2006,3,24,1200,-1420,67,0,277,3,279
"195",2006,3,24,1500,-1470,67,0,281,3,276
"196",2006,3,24,1500,-1470,67,0,281,3,276
"197",2006,3,24,1800,-270,68,0,285,1,285
"198",2006,3,24,1800,-270,68,0,285,1,285
"199",2006,3,24,1800,-1520,67,0,278,3,277
"200",2006,3,24,1800,-1520,67,0,278,3,277
"201",2006,3,24,2100,-1570,67,0,275,3,278
"202",2006,3,24,2100,-1570,67,0,275,3,278
"203",2006,3,25,0,-1620,67,0,264,3,279
"204",2006,3,25,0,-1620,67,0,264,3,279
"205",2006,3,25,300,-1680,68,0,263,3,279
"206",2006,3,25,300,-1680,68,0,263,3,279
"207",2006,3,25,600,-1720,68,0,268,3,276
"208",2006,3,25,600,-1720,68,0,268,3,276
"209",2006,3,25,900,-1760,68,0,270,3,276
"210",2006,3,25,900,-1760,68,0,270,3,276
"211",2006,3,25,1200,-1810,68,0,274,3,272
"212",2006,3,25,1200,-1810,68,0,274,3,272
"213",2006,3,25,1500,-1860,68,0,276,3,273
"214",2006,3,25,1500,-1860,68,0,276,3,273
"215",2006,3,25,1800,-1900,68,0,275,3,272
"216",2006,3,25,1800,-1900,68,0,275,3,272
"217",2006,3,25,2100,-1940,68,0,273,3,272
"218",2006,3,25,2100,-1940,68,0,273,3,272
"219",2006,3,26,0,-1980,68,0,268,3,270
"220",2006,3,26,0,-1980,68,0,268,3,270
"221",2006,3,26,600,-850,62,0,282,1,283
"222",2006,3,26,600,-850,62,0,282,1,283
"223",2006,3,26,600,-1680,52,0,303,3,302
"224",2006,3,26,600,-1680,52,0,303,3,302
"225",2006,3,26,1800,-1160,58,0,277,1,274
"226",2006,3,26,1800,-1160,58,0,277,1,274
"227",2006,3,27,0,-1310,57,0,280,1,284
"228",2006,3,27,0,-1310,57,0,280,1,284
"229",2006,3,27,600,-1470,55,0,285,1,288
"230",2006,3,28,1500,-1970,67,0,265,3,274
"231",2006,3,28,1500,-1970,67,0,265,3,274
"232",2006,3,28,1800,-1930,66,0,268,3,276
"233",2006,3,28,1800,-1930,66,0,268,3,276
"234",2006,3,28,2100,-1910,66,0,271,3,277
"235",2006,3,28,2100,-1910,66,0,271,3,277
"236",2006,3,29,0,-1700,52,0,289,3,302
"237",2006,3,29,0,-1700,52,0,289,3,302
"238",2006,3,29,0,-1950,66,0,270,3,277
"239",2006,3,29,0,-1950,66,0,270,3,277
"240",2006,3,30,600,-1680,52,0,298,3,301
"241",2006,3,30,600,-1680,52,0,298,3,301
"242",2006,3,30,1800,-1680,52,0,290,3,305
"243",2006,3,30,1800,-1680,52,0,290,3,305
"244",2006,3,31,0,-1990,65,0,269,3,277
"245",2006,3,31,300,-1950,66,0,270,3,276
"246",2006,3,31,300,-1950,66,0,270,3,276
"247",2006,3,31,600,-1660,51,0,292,3,300
"248",2006,3,31,600,-1660,51,0,292,3,300
"249",2006,3,31,600,-1930,66,0,271,3,275
"250",2006,3,31,600,-1930,66,0,271,3,275
"251",2006,3,31,900,-1970,66,0,271,3,277
"252",2006,3,31,900,-1970,66,0,271,3,277
"253",2006,3,31,1200,-1710,51,0,284,3,303
"254",2006,3,31,1200,-1710,51,0,284,3,303
"255",2006,4,1,0,-1830,51,0,278,3,298
"256",2006,3,31,600,-1660,51,0,292,3,300
"257",2006,3,31,600,-1660,51,0,292,3,300
"258",2006,3,31,1200,-1710,51,0,284,3,303
"259",2006,3,31,1200,-1710,51,0,284,3,303
"260",2006,4,1,0,-1830,51,0,278,3,298
"261",2006,4,1,0,-1830,51,0,278,3,298
"262",2006,4,1,600,-1940,51,0,262,3,299
"263",2006,4,1,600,-1940,51,0,262,3,299
"264",2006,4,6,1800,-1980,66,0,272,3,275
"265",2006,4,6,1800,-1980,66,0,272,3,275
"266",2006,4,22,300,-1980,65,0,263,3,271
"267",2006,4,22,300,-1980,65,0,263,3,271
"268",2006,4,22,600,-1940,66,0,269,3,270
"269",2006,4,22,600,-1940,66,0,269,3,270
"270",2006,4,22,900,-1900,66,0,268,3,272
"271",2006,4,22,900,-1900,66,0,268,3,272
"272",2006,4,22,1200,-1860,66,0,271,3,271
"273",2006,4,22,1200,-1860,66,0,271,3,271
"274",2006,4,22,1800,-1900,66,0,269,3,271
"275",2006,4,22,1800,-1900,66,0,269,3,271
"276",2006,4,22,2100,-1930,66,0,270,3,271
"277",2006,4,22,2100,-1930,66,0,270,3,271
"278",2006,4,23,0,-1950,66,0,266,3,270
"279",2006,4,23,0,-1950,66,0,266,3,270
"280",2006,4,23,300,-1980,66,0,268,3,271
"281",2006,4,23,300,-1980,66,0,268,3,271
"282",2006,4,25,600,-1990,66,0,266,3,271
"283",2006,4,25,600,-1990,66,0,266,3,271
"284",2006,4,25,900,-1990,67,0,266,3,271
"285",2006,4,25,900,-1990,67,0,266,3,271
"286",2006,4,25,1800,-1980,67,0,264,3,270
"287",2006,4,25,1800,-1980,67,0,264,3,270
"288",2006,4,25,2100,-1950,66,0,263,3,269
"289",2006,4,25,2100,-1950,66,0,263,3,269
"290",2006,4,26,0,-1980,66,0,264,3,271
